Calendar,WeekStarting,GreenBin,Garbage,Recycling,YardWaste, ChristmasTree
Friday1,9/9/2012,F,F,0,F,0
Friday1,9/16/2012,F,0,F,0,0
Friday1,9/23/2012,F,F,0,F,0
Friday1,9/30/2012,F,0,F,0,0
Friday1,10/7/2012,F,F,0,F,0
Friday1,10/14/2012,F,0,F,0,0
Friday1,10/21/2012,F,F,0,F,0
Friday1,10/28/2012,F,0,F,0,0
Friday1,11/4/2012,F,F,0,F,0
Friday1,11/11/2012,F,0,F,0,0
Friday1,11/18/2012,F,F,0,F,0
Friday1,11/25/2012,F,0,F,0,0
Friday1,12/2/2012,F,F,0,F,0
Friday1,12/9/2012,F,0,F,0,0
Friday1,12/16/2012,F,F,0,F,0
Friday1,12/23/2012,S,0,S,0,0
Friday1,12/30/2012,S,S,0,0,S
Friday1,1/6/2013,F,0,F,0,0
Friday1,1/13/2013,F,F,0,0,F
Friday1,1/20/2013,F,0,F,0,0
Friday1,1/27/2013,F,F,0,0,0
Friday1,2/3/2013,F,0,F,0,0
Friday1,2/10/2013,F,F,0,0,0
Friday1,2/17/2013,F,0,F,0,0
Friday1,2/24/2013,F,F,0,0,0
Friday1,3/3/2013,F,0,F,0,0
Friday1,3/10/2013,F,F,0,F,0
Friday1,3/17/2013,F,0,F,0,0
Friday1,3/24/2013,S,S,0,S,0
Friday1,3/31/2013,F,0,F,0,0
Friday1,4/7/2013,F,F,0,F,0
Friday1,4/14/2013,F,0,F,0,0
Friday1,4/21/2013,F,F,0,F,0
Friday1,4/28/2013,F,0,F,0,0
Friday1,5/5/2013,F,F,0,F,0
Friday1,5/12/2013,F,0,F,0,0
Friday1,5/19/2013,F,F,0,F,0
Friday1,5/26/2013,F,0,F,0,0
Friday1,6/2/2013,F,F,0,F,0
Friday1,6/9/2013,F,0,F,0,0
Friday1,6/16/2013,F,F,0,F,0
Friday1,6/23/2013,F,0,F,0,0
Friday1,6/30/2013,F,F,0,F,0
Friday1,7/7/2013,F,0,F,0,0
Friday1,7/14/2013,F,F,0,F,0
Friday1,7/21/2013,F,0,F,0,0
Friday1,7/28/2013,F,F,0,F,0
Friday1,8/4/2013,F,0,F,0,0
Friday1,8/11/2013,F,F,0,F,0
Friday1,8/18/2013,F,0,F,0,0
Friday1,8/25/2013,F,F,0,F,0
Friday2,9/2/2012,F,F,0,F,0
Friday2,9/9/2012,F,0,F,0,0
Friday2,9/16/2012,F,F,0,F,0
Friday2,9/23/2012,F,0,F,0,0
Friday2,9/30/2012,F,F,0,F,0
Friday2,10/7/2012,F,0,F,0,0
Friday2,10/14/2012,F,F,0,F,0
Friday2,10/21/2012,F,0,F,0,0
Friday2,10/28/2012,F,F,0,F,0
Friday2,11/4/2012,F,0,F,0,0
Friday2,11/11/2012,F,F,0,F,0
Friday2,11/18/2012,F,0,F,0,0
Friday2,11/25/2012,F,F,0,F,0
Friday2,12/2/2012,F,0,F,0,0
Friday2,12/9/2012,F,F,0,F,0
Friday2,12/16/2012,F,0,F,0,0
Friday2,12/23/2012,S,S,0,0,0
Friday2,12/30/2012,S,0,S,0,0
Friday2,1/6/2013,F,F,0,0,F
Friday2,1/13/2013,F,0,F,0,0
Friday2,1/20/2013,F,F,0,0,F
Friday2,1/27/2013,F,0,F,0,0
Friday2,2/3/2013,F,F,0,0,0
Friday2,2/10/2013,F,0,F,0,0
Friday2,2/17/2013,F,F,0,0,0
Friday2,2/24/2013,F,0,F,0,0
Friday2,3/3/2013,F,F,0,0,0
Friday2,3/10/2013,F,0,F,0,0
Friday2,3/17/2013,F,F,0,F,0
Friday2,3/24/2013,S,0,S,0,0
Friday2,3/31/2013,F,F,0,F,0
Friday2,4/7/2013,F,0,F,0,0
Friday2,4/14/2013,F,F,0,F,0
Friday2,4/21/2013,F,0,F,0,0
Friday2,4/28/2013,F,F,0,F,0
Friday2,5/5/2013,F,0,F,0,0
Friday2,5/12/2013,F,F,0,F,0
Friday2,5/19/2013,F,0,F,0,0
Friday2,5/26/2013,F,F,0,F,0
Friday2,6/2/2013,F,0,F,0,0
Friday2,6/9/2013,F,F,0,F,0
Friday2,6/16/2013,F,0,F,0,0
Friday2,6/23/2013,F,F,0,F,0
Friday2,6/30/2013,F,0,F,0,0
Friday2,7/7/2013,F,F,0,F,0
Friday2,7/14/2013,F,0,F,0,0
Friday2,7/21/2013,F,F,0,F,0
Friday2,7/28/2013,F,0,F,0,0
Friday2,8/4/2013,F,F,0,F,0
Friday2,8/11/2013,F,0,F,0,0
Friday2,8/18/2013,F,F,0,F,0
Friday2,8/25/2013,F,0,F,0,0
